30,60000
32,32000
34,42100
36,54720
38,87659
40,55777
42,34565
44,57645
54,543546
53,543435
24,5434353
45,3454343
43,53454
65,54334543
75,44543
23,4565
65,3443
30,60000
32,32000
34,42100
36,54720
38,87659
40,55777
42,34565
44,57645
54,543546
53,543435
24,5434353
45,3454343
43,53454
65,54334543
75,44543
23,4565
65,344330,60000
32,32000
34,42100
36,54720
38,87659
40,55777
42,34565
44,57645
54,543546
53,543435
24,5434353
45,3454343
43,53454
65,54334543
75,44543
23,4565
65,3443
30,60000
32,32000
34,42100
36,54720
38,87659
40,55777
42,34565
44,57645
54,543546
53,543435
24,5434353
45,3454343
43,53454
65,54334543
75,44543
23,4565
65,3443
